speaker,filename,filepath,emotion,valence,arousal,dominance
Speaker-1,A-1-1-1.wav,C:\Users\FAIZAN KHAZI\Desktop\ML Project\iesc\dataset\Speaker-1\Anger\A-1-1-1.wav,Anger,2.98,7.02,6.38
Speaker-1,A-1-1-2.wav,C:\Users\FAIZAN KHAZI\Desktop\ML Project\iesc\dataset\Speaker-1\Anger\A-1-1-2.wav,Anger,2.98,7.02,6.38
Speaker-1,A-2-1-1.wav,C:\Users\FAIZAN KHAZI\Desktop\ML Project\iesc\dataset\Speaker-1\Anger\A-2-1-1.wav,Anger,2.98,7.02,6.38
Speaker-1,A-2-1-2.wav,C:\Users\FAIZAN KHAZI\Desktop\ML Project\iesc\dataset\Speaker-1\Anger\A-2-1-2.wav,Anger,2.98,7.02,6.38
Speaker-1,A-3-1-1.wav,C:\Users\FAIZAN KHAZI\Desktop\ML Project\iesc\dataset\Speaker-1\Anger\A-3-1-1.wav,Anger,2.98,7.02,6.38
Speaker-1,A-3-1-2.wav,C:\Users\FAIZAN KHAZI\Desktop\ML Project\iesc\dataset\Speaker-1\Anger\A-3-1-2.wav,Anger,2.98,7.02,6.38
Speaker-1,A-4-1-1.wav,C:\Users\FAIZAN KHAZI\Desktop\ML Project\iesc\dataset\Speaker-1\Anger\A-4-1-1.wav,Anger,2.98,7.02,6.38
Speaker-1,A-4-1-2.wav,C:\Users\FAIZAN KHAZI\Desktop\ML Project\iesc\dataset\Speaker-1\Anger\A-4-1-2.wav,Anger,2.98,7.02,6.38
Speaker-1,A-5-1-1.wav,C:\Users\FAIZAN KHAZI\Desktop\ML Project\iesc\dataset\Speaker-1\Anger\A-5-1-1.wav,Anger,2.98,7.02,6.38
Speaker-1,A-5-1-2.wav,C:\Users\FAIZAN KHAZI\Desktop\ML Project\iesc\dataset\Speaker-1\Anger\A-5-1-2.wav,Anger,2.98,7.02,6.38
Speaker-1,F-1-1-1.wav,C:\Users\FAIZAN KHAZI\Desktop\ML Project\iesc\dataset\Speaker-1\Fear\F-1-1-1.wav,Fear,2.5,7.41,3.69
Speaker-1,F-1-1-2.wav,C:\Users\FAIZAN KHAZI\Desktop\ML Project\iesc\dataset\Speaker-1\Fear\F-1-1-2.wav,Fear,2.5,7.41,3.69
Speaker-1,F-2-1-1.wav,C:\Users\FAIZAN KHAZI\Desktop\ML Project\iesc\dataset\Speaker-1\Fear\F-2-1-1.wav,Fear,2.5,7.41,3.69
Speaker-1,F-2-1-2.wav,C:\Users\FAIZAN KHAZI\Desktop\ML Project\iesc\dataset\Speaker-1\Fear\F-2-1-2.wav,Fear,2.5,7.41,3.69
Speaker-1,F-3-1-1.wav,C:\Users\FAIZAN KHAZI\Desktop\ML Project\iesc\dataset\Speaker-1\Fear\F-3-1-1.wav,Fear,2.5,7.41,3.69
Speaker-1,F-3-1-2.wav,C:\Users\FAIZAN KHAZI\Desktop\ML Project\iesc\dataset\Speaker-1\Fear\F-3-1-2.wav,Fear,2.5,7.41,3.69
Speaker-1,F-4-1-1.wav,C:\Users\FAIZAN KHAZI\Desktop\ML Project\iesc\dataset\Speaker-1\Fear\F-4-1-1.wav,Fear,2.5,7.41,3.69
Speaker-1,F-4-1-2.wav,C:\Users\FAIZAN KHAZI\Desktop\ML Project\iesc\dataset\Speaker-1\Fear\F-4-1-2.wav,Fear,2.5,7.41,3.69
Speaker-1,F-5-1-1.wav,C:\Users\FAIZAN KHAZI\Desktop\ML Project\iesc\dataset\Speaker-1\Fear\F-5-1-1.wav,Fear,2.5,7.41,3.69
Speaker-1,F-5-1-2.wav,C:\Users\FAIZAN KHAZI\Desktop\ML Project\iesc\dataset\Speaker-1\Fear\F-5-1-2.wav,Fear,2.5,7.41,3.69
Speaker-1,H-1-1-1.wav,C:\Users\FAIZAN KHAZI\Desktop\ML Project\iesc\dataset\Speaker-1\Happy\H-1-1-1.wav,Happy,8.21,6.49,6.26
Speaker-1,H-1-1-2.wav,C:\Users\FAIZAN KHAZI\Desktop\ML Project\iesc\dataset\Speaker-1\Happy\H-1-1-2.wav,Happy,8.21,6.49,6.26
Speaker-1,H-2-1-1.wav,C:\Users\FAIZAN KHAZI\Desktop\ML Project\iesc\dataset\Speaker-1\Happy\H-2-1-1.wav,Happy,8.21,6.49,6.26
Speaker-1,H-2-1-2.wav,C:\Users\FAIZAN KHAZI\Desktop\ML Project\iesc\dataset\Speaker-1\Happy\H-2-1-2.wav,Happy,8.21,6.49,6.26
Speaker-1,H-3-1-1.wav,C:\Users\FAIZAN KHAZI\Desktop\ML Project\iesc\dataset\Speaker-1\Happy\H-3-1-1.wav,Happy,8.21,6.49,6.26
Speaker-1,H-3-1-2.wav,C:\Users\FAIZAN KHAZI\Desktop\ML Project\iesc\dataset\Speaker-1\Happy\H-3-1-2.wav,Happy,8.21,6.49,6.26
Speaker-1,H-4-1-1.wav,C:\Users\FAIZAN KHAZI\Desktop\ML Project\iesc\dataset\Speaker-1\Happy\H-4-1-1.wav,Happy,8.21,6.49,6.26
Speaker-1,H-4-1-2.wav,C:\Users\FAIZAN KHAZI\Desktop\ML Project\iesc\dataset\Speaker-1\Happy\H-4-1-2.wav,Happy,8.21,6.49,6.26
Speaker-1,H-5-1-1.wav,C:\Users\FAIZAN KHAZI\Desktop\ML Project\iesc\dataset\Speaker-1\Happy\H-5-1-1.wav,Happy,8.21,6.49,6.26
Speaker-1,H-5-1-2.wav,C:\Users\FAIZAN KHAZI\Desktop\ML Project\iesc\dataset\Speaker-1\Happy\H-5-1-2.wav,Happy,8.21,6.49,6.26
Speaker-1,N-1-1-1.wav,C:\Users\FAIZAN KHAZI\Desktop\ML Project\iesc\dataset\Speaker-1\Neutral\N-1-1-1.wav,Neutral,5.16,3.88,5.0
Speaker-1,N-1-1-2.wav,C:\Users\FAIZAN KHAZI\Desktop\ML Project\iesc\dataset\Speaker-1\Neutral\N-1-1-2.wav,Neutral,5.16,3.88,5.0
Speaker-1,N-2-1-1.wav,C:\Users\FAIZAN KHAZI\Desktop\ML Project\iesc\dataset\Speaker-1\Neutral\N-2-1-1.wav,Neutral,5.16,3.88,5.0
Speaker-1,N-2-1-2.wav,C:\Users\FAIZAN KHAZI\Desktop\ML Project\iesc\dataset\Speaker-1\Neutral\N-2-1-2.wav,Neutral,5.16,3.88,5.0
Speaker-1,N-3-1-1.wav,C:\Users\FAIZAN KHAZI\Desktop\ML Project\iesc\dataset\Speaker-1\Neutral\N-3-1-1.wav,Neutral,5.16,3.88,5.0
